retweetcount,text,sentiment,selected_text
0,"Get well soon sir ️🙏🏼 Praying for your recovery
SrBachchan 
coronavirus 
COVID19India
 GetWellSoonBigB LINK LINK",neutral, get well soon sir ️🙏🏼 praying for your recovery srbachchan coronavirus covid19india getwellsoonbigb link link
16,"28 days ago India had 81 share of the total Covid19 cases across the globe
Today the share is almost 12
That is 50 growth in our share of global cases in less than a month
We may have started late but were fast catching up
Not looking good",negative, not looking good
0,"Which country will develop Covid19 vaccines first

India Russia UK
USA China",positive, which country will develop covid19 vaccines first india russia uk usa china
16,"OpEd on Economic Transformation underway in India published in Jamaican leading daily JamaicaGleaner  COVID19

MEAIndia amitabhs
IndianDiplomacy AdityaRajKaul

LINK",positive, oped
1,"Assam Corona Daily Report 12 July 

735 new positive cases of Covid19 and 468 discharges were reported today in Assam today Total cases in the State stands at 17806 including 10894 recoveries and 36 fatalities

COVID19India  Covid19 LINK",positive, positive
1,"Arunachal Corona Daily Report 12 July 130 PM 

ArunachalPradesh reported 18 new cases of Covid19 and 13 discharges in the last 24 hours as the States tally rises to 359 along with 2 fatalities

Active cases in Arunachal stands at 219

COVID19India Covid19india LINK",positive, as the states tally rises to 359 along with 2 fatalities active cases in arunachal stands at 219 covid19india covid19india link
1,"Tripura Corona Daily Report 12 July

Tripura reported 105 new cases of Covid19 in the last 24 hours while 46 patients recovered taking the States tally to 2067 including 1421 recoveries amp 2 fatalities

Active cases in Tripura stands at 630
 
COVID19India Covid19 LINK",positive, recovered
2,"Limited possibilities for access to affordable contraceptionoptions and abortion services are surely one of the most threatening violations of sexualandreproductivehealth rights SRHR during the pandemic
COVID19India COVID19Pandemic 
LINK",positive, surely one of the most threatening
0,Bollywood star Amitabh Bachchan son Abhishek test Covid19 positive Mumbai Maharashtra Bollywood AmitabhBachcan AbhishekBachchan COVID19India Coronavirus COVID COVID19 Pandemic LINK,positive, positive
24,"Feeling others Pain is also a Sign of Humanity 

Do spread it across 

coronavirus 
Covid19 
COVID19India LINK",neutral, feeling others pain is also a sign of humanity do spread it across coronavirus covid19 covid19india link
58,Please watch this video Social Distancing is not for everyone when they are struck by floods and corona at the same time This video is from our Amguri  COVID19India AssamFloods COVID19 SOS Assam NorthEastMatters AssamMatters LINK,positive, please watch this video social distancing is not for everyone when they are struck by floods and corona at the same time this video is from our amguri covid19india assamfloods covid19 sos assam northeastmatters assammatters link
28,"Parth Samthaan tested covid19 positive We wish him a speedy recovery

parthsamthaan Corona Coronavirus coronavirusindia covid19 Covid19India getwellsoon LINK",positive, wish him a speedy recovery
2,UAE residents returning from India must undergo realtime reverse transcription polymerase chain reaction RTPCR COVID19 test on arrival at UAE airports LINK,neutral, uae residents returning from india must undergo realtime reverse transcription polymerase chain reaction rtpcr covid19 test on arrival at uae airports link
0,"Bengal horror 18yearold diabetic Covid19 patient dies after three hospitals refuse him 

COVID19India IndiaFightsCorona coronavirusinindia 
LINK",negative, dies
0,"Corona Updates 

sadahaqnews corona saaddahaqnews sadahaq  covid19 saaddahaq indianmedia india lockdown  orangezone greenzone redzone  ayurvedic coronaupdates  usa un ayush health twitter sadahaqpb sadahaqhealth sadahaqhindi sadahaqurdu instagram LINK",neutral, corona updates sadahaqnews corona saaddahaqnews sadahaq covid19 saaddahaq indianmedia india lockdown orangezone greenzone redzone ayurvedic coronaupdates usa un ayush health twitter sadahaqpb sadahaqhealth sadahaqhindi sadahaqurdu instagram link
0,"Conclusion 
Finally Indian gov failed to control covid19 We were applauding gov when pandemic was not at peak
nd now those people r silent on death of doctors nurses  also policeThis is sad thing nd bitter truth😥
 Covid19
 indiangovfailedcontrolcovid19
 India",negative, sad
0,"There is an 8 yr old struggling with covid  for 108 days now somewhere in Florida We dont know entirely how the disease acts in kid populationPlz stay aloof and wear masks to protect kids around MAIL HVSBanwait drasmalhi BDUTT
Covid19 COVIDIOTS India Florida",positive, stay aloof and wear masks to protect
0,"Conclusion is 
Finally Indian gov failed to control covid19 We were applauding gov when pandemic was not at peak
 nd now those people r silent on death of doctors nurses  also police 
This is sad thing nd bitter truth😥
Covid19
indiangovfailedcontrolcovid19
India",negative, sad
0,"29k cases in a day 
29105 Massive spike in 4 days 😞
COVID19India",positive, massive spike in 4 days 😞
17,Wishing AmitabhBachchan a speedy recovery May he recover soon  🙏 COVID19 COVID19India LINK,positive, wishing amitabhbachchan a speedy recovery
0,"U WANNA BEAT CORONA
THERE IS A VACCINE
SOCIAL VACCINE
👇
1 2 METER DISTANCE FROM HUMAN
2 ALWAYS WEAR MASK
3 WASH UR HAND

COVID19India IndiaFightsCorona coronavirusinindia India LINK",positive, u wanna beat corona there is a vaccine social vaccine 👇 1 2 meter distance from human 2 always wear mask 3 wash ur hand covid19india indiafightscorona coronavirusinindia india link
0,"Everyday thousands of coronapositive cases but one morning India woke up and there were prayers flowing and hashtags trending on social medias only for bachchanfamily  Aint AllLivesMattter now

 COVID19India  mytwittercomeback StayHomeStaySafe Prayersforall",positive, stayhomestaysafe prayersforall
2,Bangladesh and India railways reach milestone by running more than 100 trains in June to transport essential commodities amid the COVID19 pandemic LINK,positive, reach milestone
8,"Neerajkundan nsui Honourable PMOIndia 6 years se apne press conference nhi ki to ham iss pendamic COVID19India me exam De wahmodijiwah
ModihumExamNahiDenge",neutral, neerajkundan nsui honourable pmoindia 6 years se apne press conference nhi ki to ham iss pendamic covid19india me exam de wahmodijiwah modihumexamnahidenge
4,"The three top countries with COVID19 cases are the only three countries that dont have a mandatory face mask rule  Listed in order of highest number of cases
1 USA
2 Brazil
3 India
Covid19 USA Brazil India LINK",positive, top countries with covid19 cases are the only three countries that dont have a mandatory face mask rule listed in order of highest number of cases 1 usa 2 brazil 3 india covid19 usa brazil india link
1,"PKumar59 
UPPCSOFFICIAL 
UPGovt 
Please provide center change option for UPPCS 2019 MAINS and UPPCS 20 PRELIMS
Centers where prelims can be taken can be alloted for MAINS  as well in districts other than Lucknow and Pryagraj
COVID19India 
UPPCS",neutral, pkumar59 uppcsofficial upgovt please provide center change option for uppcs 2019 mains and uppcs 20 prelims centers where prelims can be taken can be alloted for mains as well in districts other than lucknow and pryagraj covid19india uppcs
0,"Why not buy something that will help us beat this shit  ECOR 

China USA India Russia Australia Canada Mexico Brazil Germany SouthAfrica 

Covid19 LINK",negative, shit
0,"India past 3⃣lakh ACTIVE covid19 cases with 2⃣3⃣K fatalities‼️

COVID19India IndiaFightsCorona coronavirusinindia LINK",positive,
0,The two members of Bollywoods first family were admitted to hospital in Mumbai as coronavirus cases soar in India Bollywood AmitabhBachchan LINK,positive, soar
5,"What celebrities do  
COVID19India 

Preach                                     Follow LINK",neutral, what celebrities do covid19india preach follow link
1,Probably coronavirus would be the first Made in China thing to be lasting for soo long and still continues to exist frustrated China Covid19 coronavirus COVID19India IndiaFightsCorona,positive, probably coronavirus would be the first made in china thing to be lasting for soo long and still continues to exist frustrated china covid19 coronavirus covid19india indiafightscorona
0,Wow Sachinpilot is trending in No 3 and HBDAsimRiaz in No 1 It seems all these matters now COVID19India GalwanValleyFaceOff Not even in the list LINK,positive, wow
10,"28637 COVID19 cases
amp 51 deaths reported in India
in last 24hrs
🤔😲😷
TOTAL
👇👇👇
COVID19 ve Cases👉8500
92258 active cases

Un4tunate
Deaths from Corona 👉2674

Again I write👇
CoronavirusPandemic से
डरना ज़रूरी है ✌️✍️✔️
StAy sAfE StAy AlErT StAy bLeSsEd LINK",positive, stay safe stay alert stay blessed
0,"𝗜𝗡𝗗𝗜𝗔 𝗖𝗢𝗩𝗜𝗗𝟭𝟵 𝗧𝗥𝗔𝗖𝗞𝗘𝗥 
𝐂𝐨𝐧𝐟𝐢𝐫𝐦𝐞𝐝  879466
𝐀𝐜𝐭𝐢𝐯𝐞  301468
𝐑𝐞𝐜𝐨𝐯𝐞𝐫𝐞𝐝  54429
𝐃𝐞𝐜𝐞𝐚𝐬𝐞𝐝  23187
𝑳𝒂𝒔𝒕 𝑼𝒑𝒅𝒂𝒕𝒆𝒅  13Jul1215AM IST

𝑺𝒕𝒂𝒚 𝑯𝒐𝒎𝒆 amp 𝑺𝒕𝒂𝒚 𝑺𝒂𝒇𝒆 

Covid19India
IndiaFightsCorona
DailyUpdates",neutral, 𝗜𝗡𝗗𝗜𝗔 𝗖𝗢𝗩𝗜𝗗𝟭𝟵 𝗧𝗥𝗔𝗖𝗞𝗘𝗥 𝐂𝐨𝐧𝐟𝐢𝐫𝐦𝐞𝐝 879466 𝐀𝐜𝐭𝐢𝐯𝐞 301468 𝐑𝐞𝐜𝐨𝐯𝐞𝐫𝐞𝐝 54429 𝐃𝐞𝐜𝐞𝐚𝐬𝐞𝐝 23187 𝑳𝒂𝒔𝒕 𝑼𝒑𝒅𝒂𝒕𝒆𝒅 13jul1215am ist 𝑺𝒕𝒂𝒚 𝑯𝒐𝒎𝒆 amp 𝑺𝒕𝒂𝒚 𝑺𝒂𝒇𝒆 covid19india indiafightscorona dailyupdates
0,"𝐃𝐄𝐋𝐇𝐈 𝗖𝗢𝗩𝗜𝗗𝟭𝟵 𝗧𝗥𝗔𝗖𝗞𝗘𝗥 
𝐂𝐨𝐧𝐟𝐢𝐫𝐦𝐞𝐝  12494
𝐀𝐜𝐭𝐢𝐯𝐞  19155
𝐑𝐞𝐜𝐨𝐯𝐞𝐫𝐞𝐝  89968
𝐃𝐞𝐜𝐞𝐚𝐬𝐞𝐝  371
𝑳𝒂𝒔𝒕 𝑼𝒑𝒅𝒂𝒕𝒆𝒅  13Jul1215AM IST

𝑺𝒕𝒂𝒚 𝑯𝒐𝒎𝒆 amp 𝑺𝒕𝒂𝒚 𝑺𝒂𝒇𝒆 

Covid19India
DelhiFightsCorona
DailyUpdates",neutral, 𝐃𝐄𝐋𝐇𝐈 𝗖𝗢𝗩𝗜𝗗𝟭𝟵 𝗧𝗥𝗔𝗖𝗞𝗘𝗥 𝐂𝐨𝐧𝐟𝐢𝐫𝐦𝐞𝐝 12494 𝐀𝐜𝐭𝐢𝐯𝐞 19155 𝐑𝐞𝐜𝐨𝐯𝐞𝐫𝐞𝐝 89968 𝐃𝐞𝐜𝐞𝐚𝐬𝐞𝐝 371 𝑳𝒂𝒔𝒕 𝑼𝒑𝒅𝒂𝒕𝒆𝒅 13jul1215am ist 𝑺𝒕𝒂𝒚 𝑯𝒐𝒎𝒆 amp 𝑺𝒕𝒂𝒚 𝑺𝒂𝒇𝒆 covid19india delhifightscorona dailyupdates
133,Nothing in life is to be feared it is only to be understood Now is the time to understand more so that we may fear less Coronavirus Covid19India CoronavirusPandemic Covid19 StayAtHome,positive, stayathome
0,"UTTAR PRADESH IS DOING MORE THAN 420 TESTSDAY HIGHEST EVER IN INDIA

THANKS myogiadityanath JI 🙏

COVID19India IndiaFightsCorona coronavirusinindia LINK",positive, thanks
0,ashoswai Yup Dr Ashok Look at the Rulers amp Their Vibes on LiesShah still claims 🇮🇳 is still good at its position COVID19India amp applauding there has always been hawkeyed vigil in all areas along LAC shameless,positive, good
0,"Covid 19 timeline illustrating the countrywise accumulation of coronavirus cases since 1st March 20
Covid19 UnitedStates brazil India

LINK",neutral, covid 19 timeline illustrating the countrywise accumulation of coronavirus cases since 1st march 20 covid19 unitedstates brazil india link
3,"Aish amp daughter test positive for Covid19 

lka India Covid19 AishwaryaRaiBachchan bachchanfamily Aaradhya SrBachchan juniorbachchan LINK",positive, positive
8,"🔴Corona Alert 
An arrival from Pakistan amp 9 from India tested positive for Covid19 raising total in Sri Lanka to 247 

lka SriLanka COVID19SL CoronaUpdate Covid19 stayhome coronavirus outbreak CoronavirusOutbreak CoronavirusPandemic India Pakistan LINK",positive, positive
0,"The WorldBank Board of Executive Directors approved financing for India
IBRD loan 750 million
Terms Maturity19 years 
Project ID P174292
Description  The program will support increased flow of finance into the hands of MSMEs severely impacted by the COVID19 crisis",negative, severely impacted
6,"Aishwarya  Aradhya found COVID positive
May God bless the bachchan family
COVID19India Bachchans 
AmitabhBachchan
AishwaryaRaiBachchan AbhishekBachchan",positive, positive may god bless
1,"COVID19India  Jul 12

ABUSE  29105 new cases  HIGHEST
ABUSE  18198 recovered 63 of total infected have recovered
ABUSE  301L cases are active683 are from MH TN KA DL AP
ABUSE  23187 have left us

Please follow the norms to protect yourself amp your family
StaySafe🛡️
WearADamnMask😷 LINK",positive, protect
0,"CoronaInfoCH COVID19 corona india trendingnews 
Keralas fish
LINK",neutral, coronainfoch covid19 corona india trendingnews keralas fish link
0,"NEW NORMAL
HALF A THOUSANDS DEATHS PER DAY 50

COVID19India IndiaFightsCorona coronavirusinindia LINK",positive, new normal
0,"India registering daily record cases of COVID19 
America still on first position 
SaudiArabia daily death figures around 50Cases In Turkey also increasing 
May Allah keep all of us safe from this coronavirus 
WHO 
UN 
OICOCI 
KingSalman 
RTErdogan 
rterdoganar",positive, safe
132,"DailyUpdate COVID19India 
Cases continue to rise at approx 3 since early June Virus not slowing down neither exploding thankfully as several states report big increases Among 3 major hotspot states DL amp TN show decline in new cases but MH continues exponential growth LINK",positive, thankfully
6,What does the data tell us about AirQuality worldwide during the COVID19 pandemic We crunched the numbers for you  analysis from China India and France Check it out LINK BalancedFuture BeatAirPollution LINK,neutral, what does the data tell us about airquality worldwide during the covid19 pandemic we crunched the numbers for you analysis from china india and france check it out link balancedfuture beatairpollution link
9,"Taliban says Afghan intelligence behind Russia rewards scandal LINK
Afghanistan COVID19 Kabul AfghanPeaceProcess China India RussianBounty Ruhspromotestudents Muslim Bangladesh Dubai COVID19 Hindu Indians Palestine HagiaSophia افغانستان LINK",neutral, taliban says afghan intelligence behind russia rewards scandal link afghanistan covid19 kabul afghanpeaceprocess china india russianbounty ruhspromotestudents muslim bangladesh dubai covid19 hindu indians palestine hagiasophia افغانستان link
0,"No lockdown here even after huge corona cases  Dr T Karthikraj Interview

LINK

CoronavirusPandemic COVID19 lockdown Corona coronavirus COVID19India COVIDVACCINE COVIDIOTS COVID19tamilnadu Covid19Chennai COVID19Pandemic",positive, no lockdown here even after huge corona cases dr t karthikraj interview link coronaviruspandemic covid19 lockdown corona coronavirus covid19india covidvaccine covidiots covid19tamilnadu covid19chennai covid19pandemic
3,"Door to door Sanitizing work done by me In ward no 29 cuttack area 
COVID19India 
RSSorg LINK",neutral, door to door sanitizing work done by me in ward no 29 cuttack area covid19india rssorg link
13,ugccancelexam DrRPNishank narendramodi myogiadityanath By making  final year exams compulsory in COVID19India is to make mockery of its own evaluation system  The statement by Rajneesh Jain  secretary UGC to conduct offline exams compulsorily is extremely shameful,positive, extremely shameful
0,"Its monsoontime in the Western Ghats Dressed in their traditional rain suits farmers  are busy plowing their lands and sowing seeds making sure we have food on our table next year too COVID or NoCOVID they dont care 
supportfarmer 
covid19india🇮🇳 LINK",positive, they dont care
0,ugcindia Looking at your shitty website for students Im sure you are not here for students but for your political benefits Its absolutely baric to challenge state governments when they say they are unable to conduct exams in the wake of COVID19India cancelallexams,positive, its absolutely baric
1,"Indias Covid19 situation keeps worsening but Delhis trends positive 
LINK
Covid19 India LINK",positive, positive
42,Wishing the greatest Amithab sir a speedy and full recovery SrBachchan COVID19India LINK,positive, wishing the greatest amithab sir a speedy and full recovery
2,"Very Urgent
unemployment COVID19India 
Please take action on compassionate appointment waiting for 5 years 
SteelMinIndia
 DARPGGoI
 DoPTGoI
dpradhanbjp
fskulaste
FSKulasteOffice
DrJitendraSingh
PMOIndia
narendramodi tejpalnagarMLA
palkisu
NavbharatTimes",positive, compassionate
7,This is what the SalvationArmys FrontLineHeroes during a global Covid19 crisis look like in India Indonesia and Zimbabwe  looking after patients in SalvationArmy hospitals and clinics Thank you for your service to humanity InThisThogether LINK,neutral, this is what the salvationarmys frontlineheroes during a global covid19 crisis look like in india indonesia and zimbabwe looking after patients in salvationarmy hospitals and clinics thank you for your service to humanity inthisthogether link
0,"COVID19India 
It was a very sweet word positive now its also got misery",positive, sweet
0,"People are unfollowing me everyday😩
Is this social distancing 😷
coronavirus COVID19India mesdaily Memes",positive, people are unfollowing me everyday😩
0,"I may be wrong but I believe that if Sushma  Swaraj was alive and she was our PM then she could have handled this Covid19 pandemic situation much better than Modi
COVID19India",positive, much better
0,"Know about Bachchan familys corona update by clicking the below mentioned link

 

LINK

bachchanfamily coronavirus COVID19India AmitabhBachchan COVIDUpdates",neutral, know about bachchan familys corona update by clicking the below mentioned link link bachchanfamily coronavirus covid19india amitabhbachchan covidupdates
0,Praying for your speedy recovery Sir Love and prayers 🙏🏻 COVID19India SrBachchan juniorbachchan DGPMaharashtra LINK,positive, praying for your speedy recovery sir love and prayers
4,"BreakingNews ajantanews
coronavirus update from India 🇮🇳
120720 

Total cases 87947
Active cases 301508
Death cases 23187
Recovered 554370

29086 new cases amp 500 deaths reported today

lockdownextension COVID19India Covid19 CoronavirusIndia COVIDー19 LINK",positive, breakingnews ajantanews coronavirus update from india 🇮🇳 120720 total cases 87947 active cases 301508 death cases 23187 recovered 554370 29086 new cases amp 500 deaths reported today lockdownextension covid19india covid19 coronavirusindia covidー19 link
3,"71 deaths today in Karnataka due to ChineseVirus and one of them was a 16day baby 😔

COVID19India Covid19Karnataka",negative, deaths
0,The world is praying for the covid19 patients and covid19 warriors A wish from everyones heart to get well soon Hoping an end to this tough time soon COVID19India Covid19 coronavirus Warriors awareness Prayers,negative, tough
2,"Total number of COVID19 cases in India  87947 29089 new cases

Active Cases  301890

Total Deaths  23187 500 new deaths

Death Rate  26

Recovery Rate  63

Maximum number of cases reported again today 

CoronaUpdatesInIndia COVID19India",positive, recovery rate 63 maximum number of cases reported again today coronaupdatesinindia covid19india
0,This actor should live by his words If you promote homeopathy for Coronavirus please take it Lets see AmitabhBachchan walk the talk now that hes COVID19 ve pseudoscience India LINK,neutral, this actor should live by his words if you promote homeopathy for coronavirus please take it lets see amitabhbachchan walk the talk now that hes covid19 ve pseudoscience india link
4,"BreakingNews ajantanews
coronavirus update from India 🇮🇳
100720 

Total cases 82570
Active cases 283842
Death cases 2144
Recovered 516206

27728 new cases amp 520 deaths reported today

lockdownextension COVID19India Covid19 CoronavirusIndia COVIDー19 LINK",positive, breakingnews ajantanews coronavirus update from india 🇮🇳 100720 total cases 82570 active cases 283842 death cases 2144 recovered 516206 27728 new cases amp 520 deaths reported today lockdownextension covid19india covid19 coronavirusindia covidー19 link
0,"This pandemic has made life tough for poor people especially daily wage workers 
This stadium hold the same attendance as  the number of people who have been tested positive for COVID19 in last 3 days in India Covid19 
COVID19India LINK",negative, tough
1,"Tripuras total COVID19 cases rise to 2068 
BjpBiplab drharshvardhan PMOIndia narendramodi WHO COVID19India 
LINK",neutral, tripuras total covid19 cases rise to 2068 bjpbiplab drharshvardhan pmoindia narendramodi who covid19india link
6,"DAMAGE is DONE
Never seen such a crowd amp traffic in Aundh area long queues in shops no parking available
Came back home without stepping out of car

Must be similar scene across Pune city

SidShirole aparanjape SmartPune 

Punelockdown PuneFightsCorona COVID19India",negative, damage
101,"How is Delhi doing COVID19India 
Looking better every day Daily new cases declining consistently DelhiDefeatingCorona MaskUp LINK",positive, better
0,COVID19 vaccine The clinical trials of the worlds first vaccine for the novel Coronavirus has been completed by Sechenov First Moscow State Medical University in Russia coronavirus coronavaccine COVID19India pandemic CoronaUpdate LINK,positive, completed by sechenov first moscow state medical university in russia coronavirus coronavaccine covid19india pandemic coronaupdate link
0,"COVID19 and Unemployment will produce the next set of Professional PUBG players
PUBG PUBGMOBILE 
PUBGMOBILE coronavirus India unemployment",neutral, covid19 and unemployment will produce the next set of professional pubg players pubg pubgmobile pubgmobile coronavirus india unemployment
0,Why only pray for Amitabh Bacchan Sir when there are  290530 people suffering COVID19India  pandemic prayforeveryone mankind,neutral, why only pray for amitabh bacchan sir when there are 290530 people suffering covid19india pandemic prayforeveryone mankind
0,"BMC fears cases in Mumbai will definitely increase now due to his statement

हम जहाँ खड़े होते हैं लाइन वहाँ से शुरू होती है
AmitabhBachchan 
COVID19India 
COVID19 COVID 
coronavirus",negative, fears
0,Sanitization is must at the palace where Covid19 infector  are found so then  no matter whether its  celebrity or commen  people AishwaryaRaiBachchan AmitabhBachhan COVID19India BMC,neutral, sanitization is must at the palace where covid19 infector are found so then no matter whether its celebrity or commen people aishwaryaraibachchan amitabhbachhan covid19india bmc
43,PSA  Cipla has a helpline to share info about the availability of some crucial medicines including Tocilizumab being used to treat COVID19 Do check with them if you are desperately looking for infoleads India LINK LINK,negative, desperately
11,"The goal is not a big state or a small state it is a smart state

The need of the hour is a national coordinated effort
It is important that responses are tailored to the incidents 

breakthechain  
COVIDー19 

COVID19Pandemic 
COVID19India",positive, smart
0,"Trending in India
ENGvWI TOTARS HBDAsimRiaz Rajasthan RajasthanPolitics Sachinpilot Sachinpilot coronavirus Covid19 corona ArrestBadassShubhamMishra Mission30M SunitaYadav shubhammishra WIvENG arrestshubhammishra arsenal",neutral, trending in india engvwi totars hbdasimriaz rajasthan rajasthanpolitics sachinpilot sachinpilot coronavirus covid19 corona arrestbadassshubhammishra mission30m sunitayadav shubhammishra wiveng arrestshubhammishra arsenal
2,"This is normal citizen from Odisha tested Covid19
Positive along with his dad just because these people arent belongs to high profile family they are being ignored by the so called doctors

IndiaFightsCorona CovidBillKills
Scamdemic Covid19 coronavirus COVID19India LINK",positive, this is normal citizen from odisha tested covid19 positive along with his dad just because these people arent belongs to high profile family they are being ignored
0,Manu Singhs Speech on COVID and Religion Hinduism LINK via YouTube Covid19 coronavirus CoronavirusPandemic COVID19India,neutral, manu singhs speech on covid and religion hinduism link via youtube covid19 coronavirus coronaviruspandemic covid19india
28,"Delhi
Need Urgently  2 units  any Blood group for a new born baby who has to undergo a surgery
at AIIMS 
Primary no98115 28912
Via indiadonors 
 COVID19India 
BloodDonorsIn BloodAid dilipkpandey DelhiDefeatingCorona BloodMatters BloodDonation BloodDelhi LtGovDelhi",positive, delhi need urgently
12,"A sweet memory from one of my visits to Dwarka where I was gifted a beautiful mento of Lord Dwarkadheesh by Pujaris of the Jagat Temple Praying for the health amp safety of all in this COVID19 Pandemic 
Dwarka Gujarat Throwback sundayvibes COVID19India Monsoon2020 LINK",positive, sweet memory from one of my visits to dwarka where i was gifted a beautiful
0,"Eng Vs Wi 🏏

Wi  Won the 1st test match 🔥 After long time good to watch live match  📺 Cricket ENGvWI cricketisback sport sports TestCricket ICC people safe coronavirus COVID19 India IndiaFightsCorona Lockdown Quarantine pandemic SocialDistancing mask World LINK",positive, good
1,"Active COVID19 cases in Arunachal Pradesh stand at 219 
PemaKhanduBJP ArunachalDIPR DirectorateofHS KirenRijiju drharshvardhan PMOIndia narendramodi COVID19India 
LINK",positive, active
32,"UnlockIndia has begun We are slowly starting to get back to normal With no fear but with responsibility towards the nation we must rise India We must fight COVID19India with resilience
AaoBharatKaamPeChale
No citizen should be left behind
StrongerTogether
Hows The Josh LINK",negative,"UnlockIndia has begun We are slowly starting to get back to normal With no fear but with responsibility towards the nation we must rise India We must fight COVID19India with resilience
AaoBharatKaamPeChale
No citizen should be left behind
StrongerTogether
Hows The Josh LINK"
0,The speed with which COVID19India is spreading makes me feel concerned about those who rendered millions of lesser mortals jobless in one stroke,neutral, the speed with which covid19india is spreading makes me feel concerned about those who rendered millions of lesser mortals jobless in one stroke
1,"There are days which makes you wonder and question about the future  Just take a deep breath and say Saale Chinese  
CKMKB coronavirus COVID19India",negative, wonder
1,"Sanitization Work at Free Covid Testing Camp Govt Senior Sec School
Khanpur Ward81S SDMC Delhi BJP IndiaFirst
COVID19India IndiaFightsCorona 
COVID19 stayhome

narendramodi AmitShah JPNadda drharshvardhan blsanthosh rameshbidhuri adeshguptabjp DMSouthDelhi LINK",positive, sanitization work at free covid testing camp govt senior sec school khanpur ward81s sdmc delhi bjp indiafirst covid19india indiafightscorona covid19 stayhome narendramodi amitshah
0,"Evryone is concerned abt d health of only 4ppl  in India  SrBachchan amp family Have al the other cases recovered 4m coronavirus 

We all shud pray for a speedy recovery of every Covid19 patient
AmitabhBachchan juniorbachchan COVID19 bachchanfamily media COVID19India",negative, concerned
0,mlasudhakar horsetrading is good developed business under PMOIndia narendramodi AmitShah sirs era Covid19 is jst weapon fr them to ruined India PeopleVsPandemic ,positive, good
0,Today the medias attention shifted completely towards the Bachchan family members instead of 300k people still struggling At the same time we talk about giving the vaccineonce ready to people who actually need instead who can afford Possible मेराभारतमहान COVID19India,positive, today the medias attention shifted completely towards the bachchan family members instead of 300k people still struggling at the same time we talk about giving the vaccineonce ready to people who actually need instead who can afford possible
